name_scientific,order,name_en,name_local,alternate_names_local,alternate_names_en,name_meaning_en,description_local,description_en,size,images_json,crow_name_audios_json,map_image,song_audios
Fulica americana,Gruiformes,american coot,bíaxaake ishtahisshikáate,,,red eye duck,,"<p>
<b>Description</b>: A large shrub, up to 15 feet in height. The
branches are thorny. The oval shaped leaves alternate
arranged, 2–4 inches long, dark green, smooth and pale on
the underside. The small flowers with five, white petals and
yelow tipped stamens occur singly or in clusters. Spherical
to oblong fruit is yellow to reddish-purple and 1 inch in
diameter.
</p>
<br>
<p>
<b>Habitat</b>: Thickets, woodlands, mountain slopes; plains, and
valleys.
</p>
<br>
<p>
<b>Uses</b>: Fruit is edible. Branches used for ceremonies. Roots
have been used to make dyes.
</p>",Small-Medium,"[{""file"": ""American Crow.jpg""}]","[{""file"": ""3956_cheetilichitche_big_sage_CGL.mp3""}]",crow-text-map.jpg,
Cinclus mexicanus,Passeriformes,american dipper,akchilakappeelísshe,,,one who picks it up dancing; the gloss we have describes a dancer not a bird,,"<p>
<b>Description</b>: A large shrub, up to 15 feet in height. The
branches are thorny. The oval shaped leaves alternate
arranged, 2–4 inches long, dark green, smooth and pale on
the underside. The small flowers with five, white petals and
yelow tipped stamens occur singly or in clusters. Spherical
to oblong fruit is yellow to reddish-purple and 1 inch in
diameter.
</p>
<br>
<p>
<b>Habitat</b>: Thickets, woodlands, mountain slopes; plains, and
valleys.
</p>
<br>
<p>
<b>Uses</b>: Fruit is edible. Branches used for ceremonies. Roots
have been used to make dyes.
</p>",Medium,"[{""file"": ""rooster.jpg""}]","[{""file"": ""3445_bikkaakaashe_bluegrass_CGL.mp3""}]",turkey_vulture-text-map.jpg,
Icterus galbula,Passeriformes,baltimore oriole,dakáakooshe,,northern oriole (deprecated),red bird,,"<p>
<b>Description</b>: A large shrub, up to 15 feet in height. The
branches are thorny. The oval shaped leaves alternate
arranged, 2–4 inches long, dark green, smooth and pale on
the underside. The small flowers with five, white petals and
yelow tipped stamens occur singly or in clusters. Spherical
to oblong fruit is yellow to reddish-purple and 1 inch in
diameter.
</p>
<br>
<p>
<b>Habitat</b>: Thickets, woodlands, mountain slopes; plains, and
valleys.
</p>
<br>
<p>
<b>Uses</b>: Fruit is edible. Branches used for ceremonies. Roots
have been used to make dyes.
</p>",Small,"[{""file"": ""Turkey_Vulture.jpg""}]","[{""file"": ""2992_balawuuleete_elderberry_RPF.mp3""}]",turkey_vulture-text-map.jpg,
Riparia riparia,Passeriformes,bank swallow,awakóokaate,iipsáhte,,small brings dirt; forked tail,,"<p>
<b>Description</b>: A large shrub, up to 15 feet in height. The
branches are thorny. The oval shaped leaves alternate
arranged, 2–4 inches long, dark green, smooth and pale on
the underside. The small flowers with five, white petals and
yelow tipped stamens occur singly or in clusters. Spherical
to oblong fruit is yellow to reddish-purple and 1 inch in
diameter.
</p>
<br>
<p>
<b>Habitat</b>: Thickets, woodlands, mountain slopes; plains, and
valleys.
</p>
<br>
<p>
<b>Uses</b>: Fruit is edible. Branches used for ceremonies. Roots
have been used to make dyes.
</p>",Tiny,"[{""file"": ""Wood_Stork.jpg""}]","[{""file"": ""29756_cheetishbilishpitbaakaate--pennycress_Entry1_LYM_1754602898769.mp3""}]",turkey_vulture-text-map.jpg,
Hirundo rustica,Passeriformes,barn swallow,awakóo,iipsáhte,,brings dirt; forked tail,,"<p>
<b>Description</b>: A large shrub, up to 15 feet in height. The
branches are thorny. The oval shaped leaves alternate
arranged, 2–4 inches long, dark green, smooth and pale on
the underside. The small flowers with five, white petals and
yelow tipped stamens occur singly or in clusters. Spherical
to oblong fruit is yellow to reddish-purple and 1 inch in
diameter.
</p>
<br>
<p>
<b>Habitat</b>: Thickets, woodlands, mountain slopes; plains, and
valleys.
</p>
<br>
<p>
<b>Uses</b>: Fruit is edible. Branches used for ceremonies. Roots
have been used to make dyes.
</p>",Small,"[{""file"": ""Red-headed_Woodpecker.jpg""}]","[{""file"": ""29868_ichihchishiishipite--purple-coneflower_Entry1_LYM_1754608262149.mp3""}]",woodpecker-text-map.jpg,
Pica hudsonia,Passeriformes,black-billed magpie,íipiakaate,,,slender tail,,"<p>
<b>Description</b>: A large shrub, up to 15 feet in height. The
branches are thorny. The oval shaped leaves alternate
arranged, 2–4 inches long, dark green, smooth and pale on
the underside. The small flowers with five, white petals and
yelow tipped stamens occur singly or in clusters. Spherical
to oblong fruit is yellow to reddish-purple and 1 inch in
diameter.
</p>
<br>
<p>
<b>Habitat</b>: Thickets, woodlands, mountain slopes; plains, and
valleys.
</p>
<br>
<p>
<b>Uses</b>: Fruit is edible. Branches used for ceremonies. Roots
have been used to make dyes.
</p>",Small-Medium,"[{""file"": ""Downy_Woodpecker.jpg""}]","[{""file"": ""3863_bitxua_onion_rileysinger1.mp3""}]",downy_woodpecker-text-map.jpg,
Dolichonyx oryzivorus,Passeriformes,bobolink,xuáhchee chichée,,,looks like a skunk,,"<p>
<b>Description</b>: A large shrub, up to 15 feet in height. The
branches are thorny. The oval shaped leaves alternate
arranged, 2–4 inches long, dark green, smooth and pale on
the underside. The small flowers with five, white petals and
yelow tipped stamens occur singly or in clusters. Spherical
to oblong fruit is yellow to reddish-purple and 1 inch in
diameter.
</p>
<br>
<p>
<b>Habitat</b>: Thickets, woodlands, mountain slopes; plains, and
valleys.
</p>
<br>
<p>
<b>Uses</b>: Fruit is edible. Branches used for ceremonies. Roots
have been used to make dyes.
</p>",Small,"[{""file"": ""Hairy_Woodpecker.jpg""}]","[{""file"": ""3793_bishkaxchiia_dogbush_rileysinger1.mp3""}]",hairy_woodpecker-text-map.jpg,
Euphagus cyanocephalus,Passeriformes,brewers blackbird,iichíilakiichiwee,,,one who tells stories among horses,"This is a long crow description for checking app functionality.
Not sure what else to say. <b>Whoa, there, buddy!</b>","<p>
<b>Description</b>: A large shrub, up to 15 feet in height. The
branches are thorny. The oval shaped leaves alternate
arranged, 2–4 inches long, dark green, smooth and pale on
the underside. The small flowers with five, white petals and
yelow tipped stamens occur singly or in clusters. Spherical
to oblong fruit is yellow to reddish-purple and 1 inch in
diameter.
</p>
<br>
<p>
<b>Habitat</b>: Thickets, woodlands, mountain slopes; plains, and
valleys.
</p>
<br>
<p>
<b>Uses</b>: Fruit is edible. Branches used for ceremonies. Roots
have been used to make dyes.
</p>",Small,"[{""file"": ""Downy_Woodpecker.jpg""}]","[{""file"": ""29857_awachuhke-baaapaale-shiile--prairie-coneflower_Entry1_VCA_1749240700992.mp3""}]",downy_woodpecker-text-map.jpg,
Toxostoma rufum,Passeriformes,brown thrasher,akdichahó,,,one with many calls,,"<p>
<b>Description</b>: A large shrub, up to 15 feet in height. The
branches are thorny. The oval shaped leaves alternate
arranged, 2–4 inches long, dark green, smooth and pale on
the underside. The small flowers with five, white petals and
yelow tipped stamens occur singly or in clusters. Spherical
to oblong fruit is yellow to reddish-purple and 1 inch in
diameter.
</p>
<br>
<p>
<b>Habitat</b>: Thickets, woodlands, mountain slopes; plains, and
valleys.
</p>
<br>
<p>
<b>Uses</b>: Fruit is edible. Branches used for ceremonies. Roots
have been used to make dyes.
</p>",Small,"[{""file"": ""Hairy_Woodpecker.jpg""}]","[{""file"": ""02163_ichihchishiia-chisshiia--american-bistort_Entry1_LYM_1754608181668.mp3""}]",hairy_woodpecker-text-map.jpg,
Molothrus ater,Passeriformes,brown-headed cowbird,bishéekiichiwee,baaxíile,,one who tells stories among buffalo; grey one,,"<p>
<b>Description</b>: A large shrub, up to 15 feet in height. The
branches are thorny. The oval shaped leaves alternate
arranged, 2–4 inches long, dark green, smooth and pale on
the underside. The small flowers with five, white petals and
yelow tipped stamens occur singly or in clusters. Spherical
to oblong fruit is yellow to reddish-purple and 1 inch in
diameter.
</p>
<br>
<p>
<b>Habitat</b>: Thickets, woodlands, mountain slopes; plains, and
valleys.
</p>
<br>
<p>
<b>Uses</b>: Fruit is edible. Branches used for ceremonies. Roots
have been used to make dyes.
</p>",Small-Medium,"[{""file"": ""Canada_Jay.jpg""}]","[{""file"": ""3175_balitche_elm_rileysinger1.mp3""}]",camp_robber-text-map.jpg,
